Region,State,Broadcaster,Sport,Event,Month,ViewershipCount,AvgWatchTime,Gender,AgeGroup,Likes,Dislikes,OnlineStreams,TVViewers,RevenueGenerated
South,Kerala,Sony Sports,Football,ISL,Nov,994189,109.2,Female,35-44,8906,4169,199931,794258,1426070.74
Central,Madhya Pradesh,Jio Sports,Hockey,Hockey India League,Mar,1394380,77.3,Male,45+,35701,1480,472567,921813,888541.12
West,Gujarat,DD Sports,Badminton,Asia Championships,Nov,133560,43.7,Female,35-44,33284,1318,51107,82453,258235.22
West,Gujarat,Jio Sports,Badminton,Asia Championships,Dec,1386651,49.6,Female,15-24,43520,1518,678590,708061,874255.92
Central,Chhattisgarh,Sony Sports,Tennis,India Tennis Cup,Jun,1124135,15.5,Male,15-24,22754,4072,476864,647271,644326.5
West,Maharashtra,Jio Sports,Football,Santosh Trophy,Aug,1664737,38.1,Male,15-24,4020,895,791893,872844,1022475.29
West,Gujarat,Sony Sports,Cricket,IPL,Dec,619936,107.7,Male,25-34,3396,2262,298528,321408,1076842.13
South,Karnataka,Sony Sports,Hockey,Hockey India League,May,706951,72.1,Male,15-24,27572,1412,213052,493899,1285198.02
West,Goa,DD Sports,Football,Santosh Trophy,Jul,319458,40.8,Male,25-34,32290,1804,76527,242931,319781.71
North,Punjab,DD Sports,Badminton,India Open,Jan,1805692,86.4,Female,35-44,21670,3838,525021,1280671,2941607.62
West,Goa,DD Sports,Tennis,Chennai Open,Apr,1776470,115.9,Female,25-34,3808,4621,418375,1358095,1231635.18
Central,Madhya Pradesh,Jio Sports,Cricket,Ranji Trophy,Nov,728250,110.4,Male,25-34,27705,2503,314177,414073,971684.02
South,Kerala,ESPN India,Kabaddi,Pro Kabaddi League,Oct,1287580,15.7,Male,45+,22727,3217,447769,839811,1274254.02
West,Goa,DD Sports,Football,ISL,Jan,1226808,42.3,Male,35-44,13987,4643,380870,845938,1607091.58
Central,Chhattisgarh,ESPN India,Cricket,IPL,Jun,308722,44.8,Male,45+,45486,4781,142465,166257,354524.36
North,Delhi,Sony Sports,Cricket,IPL,Nov,1242929,81.4,Female,35-44,26821,2184,493988,748941,812582.97
North,Uttar Pradesh,ESPN India,Hockey,Hockey India League,Jul,981011,95.9,Male,35-44,8491,4926,439370,541641,735332.86
East,Odisha,Star Sports,Kabaddi,Pro Kabaddi League,May,376032,51.3,Male,35-44,21953,3291,122342,253690,213816.7
West,Maharashtra,DD Sports,Tennis,Chennai Open,Jun,1952897,86.0,Female,45+,22195,3847,396352,1556545,2873415.44
North,Punjab,Star Sports,Badminton,India Open,Jun,726787,17.6,Male,35-44,45064,4099,198065,528722,1203276.64
Central,Chhattisgarh,Star Sports,Kabaddi,Pro Kabaddi League,Dec,865673,31.7,Female,15-24,14025,3456,432570,433103,1659023.74
North,Haryana,Sony Sports,Badminton,Asia Championships,Aug,663474,32.2,Male,35-44,42846,2944,241892,421582,1022097.18
South,Andhra Pradesh,Sony Sports,Hockey,Hockey India League,Sep,335555,96.1,Female,45+,4093,3630,83223,252332,305317.9
East,West Bengal,Sony Sports,Kabaddi,Pro Kabaddi League,Feb,822944,18.3,Female,45+,34756,4216,173666,649278,1534203.61
Central,Madhya Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Mar,1881780,56.7,Female,45+,33196,4765,580421,1301359,3464637.0
Central,Chhattisgarh,Sony Sports,Kabaddi,Pro Kabaddi League,Jan,1044465,18.3,Female,45+,42752,891,455459,589006,1099601.8
Central,Madhya Pradesh,DD Sports,Badminton,India Open,Mar,481374,72.0,Male,35-44,22563,1084,172592,308782,867885.91
South,Tamil Nadu,Jio Sports,Hockey,Hockey India League,Nov,1036420,62.6,Female,45+,21017,4544,470434,565986,722247.22
South,Kerala,DD Sports,Badminton,India Open,Jan,1336836,116.6,Female,25-34,16251,626,302726,1034110,1633992.62
North,Uttar Pradesh,DD Sports,Cricket,World Cup,Jan,568349,78.8,Female,35-44,35531,620,182157,386192,455126.54
East,Bihar,ESPN India,Badminton,India Open,Dec,1697608,83.4,Male,25-34,36201,683,766899,930709,1639113.42
East,Assam,ESPN India,Hockey,Hockey India League,Aug,659996,63.8,Female,35-44,27589,4533,300382,359614,805134.57
South,Andhra Pradesh,ESPN India,Football,ISL,Apr,1815982,84.0,Male,45+,42688,2143,514711,1301271,3032284.04
West,Gujarat,Jio Sports,Hockey,Hockey India League,Apr,342231,93.7,Female,15-24,10768,2548,96754,245477,223883.62
West,Goa,Sony Sports,Hockey,Hockey India League,Jul,495485,67.4,Female,25-34,30781,2820,226562,268923,663688.79
West,Rajasthan,Sony Sports,Tennis,India Tennis Cup,May,72431,22.6,Male,15-24,7368,2948,15764,56667,132099.67
East,Assam,Jio Sports,Football,Santosh Trophy,Mar,1318300,56.7,Male,35-44,44201,189,628073,690227,2022532.5
North,Delhi,ESPN India,Hockey,Hockey India League,Jun,1311553,19.3,Male,45+,26003,1995,332568,978985,1907844.5
Central,Chhattisgarh,Sony Sports,Tennis,Chennai Open,Jul,1858322,77.5,Female,45+,27015,652,429521,1428801,2905655.14
South,Tamil Nadu,Star Sports,Hockey,Hockey India League,Jun,1611863,80.7,Male,35-44,26683,4306,347832,1264031,2776011.18
Central,Madhya Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,Jul,207702,73.1,Female,45+,12653,3485,62675,145027,348056.38
West,Maharashtra,Sony Sports,Football,Santosh Trophy,Jun,1918670,70.3,Male,15-24,30545,4209,588892,1329778,1194266.5
East,West Bengal,Sony Sports,Tennis,Chennai Open,May,1310533,83.3,Female,25-34,2560,1366,422014,888519,1086197.25
East,Odisha,Jio Sports,Football,ISL,Jun,1249670,93.1,Male,35-44,29380,3802,448564,801106,1437724.09
North,Haryana,ESPN India,Football,Santosh Trophy,Feb,928879,73.3,Male,25-34,40825,761,325611,603268,927459.62
West,Gujarat,Sony Sports,Cricket,World Cup,Nov,839352,23.6,Male,15-24,9946,4230,295467,543885,697368.63
North,Haryana,Jio Sports,Kabaddi,Pro Kabaddi League,Aug,1901317,42.1,Male,15-24,31027,3988,933175,968142,3426950.41
North,Haryana,ESPN India,Tennis,India Tennis Cup,Nov,558062,103.9,Male,35-44,48908,4711,209401,348661,894587.59
East,Odisha,Sony Sports,Cricket,World Cup,Dec,676045,19.2,Female,15-24,16282,4803,137714,538331,934353.39
Central,Chhattisgarh,Sony Sports,Badminton,Asia Championships,Jul,469065,66.1,Male,15-24,44585,2482,132475,336590,868264.08
South,Karnataka,Sony Sports,Badminton,India Open,Jul,1485397,119.2,Female,35-44,46241,1369,450814,1034583,1542921.29
North,Punjab,Star Sports,Kabaddi,Pro Kabaddi League,Jan,299474,81.3,Male,45+,20342,3014,93769,205705,498324.83
South,Tamil Nadu,Jio Sports,Football,ISL,Mar,207795,33.9,Male,35-44,42899,625,47230,160565,406674.07
South,Karnataka,DD Sports,Football,ISL,Nov,1393862,22.3,Male,45+,5648,2465,524219,869643,900560.42
East,Bihar,ESPN India,Tennis,India Tennis Cup,Sep,1062092,69.1,Male,35-44,48064,3255,389160,672932,1475698.53
South,Andhra Pradesh,Sony Sports,Tennis,Chennai Open,Dec,1930901,47.8,Female,45+,3113,1352,587695,1343206,991605.72
South,Kerala,ESPN India,Football,Santosh Trophy,Apr,194832,28.7,Male,15-24,13588,3474,52207,142625,165999.02
Central,Chhattisgarh,ESPN India,Tennis,India Tennis Cup,Nov,1806169,32.8,Male,45+,6724,2991,863261,942908,3148739.66
Central,Madhya Pradesh,Jio Sports,Hockey,Hockey India League,May,1009744,76.7,Female,45+,24499,2460,368729,641015,757876.35
West,Goa,Sony Sports,Badminton,Asia Championships,Nov,645923,78.6,Male,35-44,7116,2312,249451,396472,1080426.03
North,Haryana,Jio Sports,Tennis,Chennai Open,Jun,1370567,76.5,Female,45+,2742,2025,354017,1016550,1108462.25
West,Goa,Jio Sports,Football,Santosh Trophy,Nov,493324,118.6,Male,45+,1968,1416,241603,251721,939737.1
West,Gujarat,Jio Sports,Hockey,Hockey India League,Feb,1257068,38.6,Female,35-44,11724,3928,387176,869892,795514.59
Central,Madhya Pradesh,ESPN India,Football,ISL,Oct,1259504,19.4,Male,35-44,42235,2840,438093,821411,1536400.44
West,Gujarat,Jio Sports,Badminton,Asia Championships,May,1857610,114.9,Female,35-44,24857,3968,926053,931557,3347185.55
West,Maharashtra,Star Sports,Football,ISL,May,694318,69.8,Female,45+,10110,4023,294206,400112,478115.89
East,West Bengal,Sony Sports,Badminton,India Open,Feb,1726925,89.0,Female,45+,44753,991,703931,1022994,2607913.46
East,Odisha,ESPN India,Kabaddi,Pro Kabaddi League,Apr,846657,91.7,Female,25-34,24196,4712,375489,471168,1646765.01
West,Rajasthan,Star Sports,Football,ISL,Jun,1869822,103.0,Male,45+,16577,2574,546385,1323437,2851239.29
South,Kerala,Sony Sports,Football,ISL,Sep,498625,102.2,Female,35-44,1302,4052,212792,285833,272040.12
East,Odisha,DD Sports,Football,ISL,Nov,1272471,111.5,Male,25-34,36840,3224,332557,939914,1909288.37
Central,Chhattisgarh,Jio Sports,Football,ISL,Nov,208056,84.1,Female,25-34,38873,803,97375,110681,119074.21
West,Gujarat,Star Sports,Kabaddi,Pro Kabaddi League,Jul,579992,119.3,Male,45+,7924,2732,139238,440754,368713.99
West,Rajasthan,DD Sports,Hockey,Hockey India League,Dec,528366,107.2,Female,35-44,49508,3273,147132,381234,523372.81
Central,Chhattisgarh,DD Sports,Football,Santosh Trophy,Feb,534965,109.6,Female,15-24,32116,1100,197161,337804,522015.41
West,Maharashtra,Sony Sports,Cricket,World Cup,Oct,1116348,27.6,Male,45+,42781,554,284278,832070,567817.0
West,Maharashtra,ESPN India,Hockey,Hockey India League,Jan,1626590,79.0,Male,35-44,35958,1016,505768,1120822,1741475.33
South,Andhra Pradesh,Sony Sports,Cricket,Ranji Trophy,Nov,736684,39.9,Female,35-44,29144,3438,269179,467505,1035168.39
Central,Chhattisgarh,Jio Sports,Cricket,World Cup,Jul,1098173,94.7,Male,45+,13040,1126,337389,760784,1442500.2
Central,Madhya Pradesh,Star Sports,Hockey,Hockey India League,Dec,1367191,65.3,Male,45+,32348,1277,470691,896500,906963.77
Central,Chhattisgarh,DD Sports,Hockey,Hockey India League,Feb,333780,75.9,Male,15-24,12563,2930,126955,206825,364336.89
Central,Chhattisgarh,ESPN India,Tennis,India Tennis Cup,Jan,470182,90.4,Female,25-34,14178,1104,120416,349766,815102.87
Central,Madhya Pradesh,Sony Sports,Hockey,Hockey India League,Mar,900538,83.0,Male,25-34,22627,814,448226,452312,963676.31
West,Rajasthan,Sony Sports,Tennis,India Tennis Cup,Nov,1668243,51.9,Male,45+,47881,1063,366462,1301781,1476670.07
West,Rajasthan,Jio Sports,Badminton,India Open,Aug,930179,112.6,Male,25-34,14467,205,278097,652082,1316669.0
South,Andhra Pradesh,Sony Sports,Kabaddi,Pro Kabaddi League,Apr,1468897,117.6,Female,35-44,35905,3516,558223,910674,1885654.75
West,Rajasthan,DD Sports,Hockey,Hockey India League,Jun,804950,34.1,Female,25-34,8052,3754,237996,566954,759001.39
East,Bihar,Star Sports,Football,ISL,Jun,1933376,41.9,Female,25-34,25611,1575,637640,1295736,1219106.56
Central,Madhya Pradesh,Star Sports,Tennis,India Tennis Cup,Feb,1419909,19.6,Male,15-24,14673,3038,475574,944335,715458.1
South,Tamil Nadu,Jio Sports,Cricket,IPL,Feb,1295077,107.8,Male,35-44,29552,3197,329265,965812,1059460.09
Central,Madhya Pradesh,ESPN India,Badminton,Asia Championships,Jun,656217,52.9,Female,45+,32401,2731,293702,362515,1085984.7
East,Assam,Star Sports,Hockey,Hockey India League,Jan,282601,46.7,Female,15-24,40575,3783,119627,162974,320923.78
West,Maharashtra,Jio Sports,Kabaddi,Pro Kabaddi League,Oct,348185,95.5,Male,15-24,4040,1562,89533,258652,480464.9
Central,Chhattisgarh,Jio Sports,Tennis,India Tennis Cup,Oct,245246,106.3,Male,25-34,30344,730,105316,139930,319564.65
West,Gujarat,Sony Sports,Tennis,Chennai Open,Oct,1009125,82.4,Female,35-44,34755,1646,497407,511718,855657.92
Central,Madhya Pradesh,Jio Sports,Hockey,Hockey India League,Oct,1256861,21.1,Female,45+,22400,869,390124,866737,1146018.91
North,Haryana,DD Sports,Hockey,Hockey India League,Aug,1627222,57.5,Female,15-24,33117,4108,474265,1152957,2503732.01
East,Odisha,DD Sports,Hockey,Hockey India League,Jul,243510,101.0,Male,15-24,39467,1341,96838,146672,244932.27
Central,Chhattisgarh,DD Sports,Tennis,Chennai Open,Jun,1129583,23.3,Male,25-34,46799,4548,471886,657697,1574216.34
West,Gujarat,Sony Sports,Tennis,Chennai Open,Apr,1377176,38.8,Male,35-44,3472,3146,554987,822189,832001.28
West,Maharashtra,Jio Sports,Tennis,India Tennis Cup,May,122240,85.3,Female,15-24,3475,3710,30614,91626,178501.25
East,Odisha,DD Sports,Hockey,Hockey India League,Apr,699991,83.3,Male,45+,41747,2528,165182,534809,829690.91
West,Gujarat,ESPN India,Football,Santosh Trophy,Feb,1696933,119.4,Female,15-24,20201,2761,507645,1189288,2268248.13
North,Uttar Pradesh,Star Sports,Cricket,World Cup,Apr,830641,50.0,Male,15-24,1661,3983,304093,526548,525921.26
Central,Chhattisgarh,Star Sports,Badminton,Asia Championships,Oct,1080596,87.5,Female,25-34,26592,4506,483469,597127,1408817.88
East,West Bengal,Jio Sports,Cricket,World Cup,Jan,1449453,94.4,Male,45+,30328,2031,528890,920563,2858110.51
West,Goa,Jio Sports,Hockey,Hockey India League,Jul,1240402,39.6,Female,25-34,38211,4825,275180,965222,2466818.78
West,Gujarat,ESPN India,Cricket,World Cup,Jun,1094327,40.6,Female,35-44,17669,248,294834,799493,699705.81
South,Karnataka,Star Sports,Hockey,Hockey India League,Jul,957669,94.3,Female,45+,12023,2607,453229,504440,1602220.59
North,Uttar Pradesh,Sony Sports,Badminton,India Open,Dec,1117745,27.4,Female,25-34,6782,1701,537711,580034,1197512.08
South,Andhra Pradesh,ESPN India,Football,Santosh Trophy,Nov,609873,73.1,Female,25-34,39067,1825,133509,476364,714041.63
East,Bihar,Jio Sports,Cricket,World Cup,Jan,86035,32.0,Female,25-34,25981,2290,20477,65558,171057.97
Central,Chhattisgarh,Sony Sports,Kabaddi,Pro Kabaddi League,May,1556404,67.6,Male,35-44,34328,4237,595616,960788,2038265.01
East,Assam,Jio Sports,Tennis,Chennai Open,Apr,137468,107.2,Female,25-34,8629,233,53037,84431,97865.82
East,Assam,Star Sports,Hockey,Hockey India League,Jan,343894,23.5,Male,25-34,47484,4325,140514,203380,287296.49
South,Kerala,DD Sports,Kabaddi,Pro Kabaddi League,Feb,1302557,82.3,Male,35-44,6656,2085,270043,1032514,910209.91
Central,Chhattisgarh,Sony Sports,Hockey,Hockey India League,Sep,900741,78.7,Male,15-24,32552,1233,365595,535146,1664022.11
West,Rajasthan,ESPN India,Hockey,Hockey India League,Sep,1041469,67.8,Female,25-34,24429,1148,466108,575361,1561641.45
East,Odisha,Sony Sports,Cricket,Ranji Trophy,Jan,822577,17.7,Male,35-44,17920,4323,394466,428111,944932.71
South,Kerala,ESPN India,Tennis,India Tennis Cup,Jun,1307100,107.0,Male,25-34,36262,4585,286341,1020759,654201.93
West,Rajasthan,Star Sports,Football,ISL,Mar,521082,83.3,Male,35-44,7610,2053,163685,357397,619931.59
Central,Madhya Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Aug,300497,94.2,Female,35-44,27526,556,106563,193934,344221.05
West,Rajasthan,DD Sports,Tennis,Chennai Open,Nov,1143512,27.7,Male,45+,29861,3665,522957,620555,745076.65
South,Tamil Nadu,ESPN India,Badminton,Asia Championships,Aug,1195935,79.9,Female,15-24,47851,1738,349829,846106,1008582.1
West,Rajasthan,ESPN India,Kabaddi,Pro Kabaddi League,Mar,1010612,47.2,Male,25-34,42779,519,318782,691830,1304257.64
East,West Bengal,Sony Sports,Badminton,Asia Championships,Aug,1347638,98.2,Female,35-44,6693,867,380984,966654,1067240.04
South,Karnataka,DD Sports,Football,ISL,Jun,408918,65.6,Male,45+,32174,1864,139993,268925,441884.21
Central,Madhya Pradesh,Sony Sports,Football,ISL,Sep,1954260,58.7,Male,35-44,25282,2393,970663,983597,3293918.14
South,Tamil Nadu,Sony Sports,Hockey,Hockey India League,Dec,552420,29.4,Male,45+,6542,1000,150211,402209,454532.73
West,Rajasthan,DD Sports,Kabaddi,Pro Kabaddi League,Sep,1776676,81.1,Female,15-24,17052,2485,443652,1333024,1060542.36
Central,Chhattisgarh,Sony Sports,Hockey,Hockey India League,Oct,706031,26.5,Male,25-34,5795,2542,249684,456347,834222.23
Central,Madhya Pradesh,DD Sports,Badminton,Asia Championships,Sep,560259,30.7,Female,15-24,11749,645,235418,324841,552983.42
South,Tamil Nadu,DD Sports,Kabaddi,Pro Kabaddi League,Mar,275019,100.1,Female,25-34,29380,1559,83740,191279,492104.66
East,Assam,ESPN India,Badminton,Asia Championships,Aug,1355129,108.7,Male,25-34,31911,116,358425,996704,2016483.74
Central,Madhya Pradesh,Star Sports,Kabaddi,Pro Kabaddi League,Sep,1975544,60.9,Female,25-34,7172,1220,579940,1395604,3479540.21
East,Bihar,Star Sports,Cricket,World Cup,May,1512073,97.0,Female,35-44,42674,4954,641244,870829,2251523.39
North,Delhi,DD Sports,Cricket,Ranji Trophy,Jan,471818,38.8,Female,35-44,9080,4026,172196,299622,602800.35
North,Delhi,Star Sports,Cricket,Ranji Trophy,Sep,1195298,118.8,Female,45+,23614,2248,559749,635549,683407.13
West,Rajasthan,Star Sports,Hockey,Hockey India League,May,1871895,90.2,Female,45+,8788,3606,888331,983564,1136025.17
East,Odisha,Star Sports,Badminton,Asia Championships,Oct,1723879,68.4,Male,25-34,29903,3997,843544,880335,2056450.43
North,Haryana,Star Sports,Kabaddi,Pro Kabaddi League,Jul,1671219,96.3,Male,35-44,39278,2646,660281,1010938,1299863.03
South,Andhra Pradesh,Sony Sports,Badminton,India Open,Dec,1257786,72.7,Female,35-44,11759,1673,473382,784404,784766.01
Central,Chhattisgarh,Jio Sports,Cricket,Ranji Trophy,Aug,89279,46.0,Male,15-24,36144,3109,18717,70562,134010.06
Central,Chhattisgarh,ESPN India,Kabaddi,Pro Kabaddi League,Jan,796434,79.6,Female,25-34,27189,1740,369215,427219,1167457.86
North,Delhi,Sony Sports,Football,Santosh Trophy,Apr,173257,109.1,Male,15-24,47857,2296,61771,111486,119174.89
North,Haryana,Sony Sports,Hockey,Hockey India League,Jan,973482,78.2,Female,15-24,43676,4083,200546,772936,1672105.92
South,Karnataka,ESPN India,Football,Santosh Trophy,Dec,1031883,19.6,Female,15-24,24953,2330,467452,564431,663002.94
Central,Madhya Pradesh,Star Sports,Cricket,Ranji Trophy,Oct,120119,61.1,Male,45+,40896,3797,44490,75629,229981.49
South,Karnataka,Sony Sports,Badminton,India Open,Dec,457507,35.7,Female,35-44,34453,2260,212078,245429,671947.95
East,Assam,Star Sports,Hockey,Hockey India League,Sep,1176370,48.3,Female,45+,11736,4975,351222,825148,2209681.41
South,Karnataka,Star Sports,Hockey,Hockey India League,Dec,1286497,38.2,Male,45+,16997,401,397758,888739,2049050.11
West,Rajasthan,ESPN India,Kabaddi,Pro Kabaddi League,May,394710,20.7,Female,15-24,29927,697,175971,218739,643290.86
East,Odisha,DD Sports,Cricket,World Cup,Oct,1288360,19.5,Female,45+,20921,4965,281873,1006487,898751.12
West,Goa,ESPN India,Hockey,Hockey India League,Oct,1742110,116.3,Male,45+,27062,4182,823041,919069,1264796.53
Central,Madhya Pradesh,Star Sports,Hockey,Hockey India League,Mar,472955,71.9,Female,15-24,2724,1476,132503,340452,597124.99
South,Kerala,ESPN India,Football,ISL,Mar,845326,30.9,Male,15-24,30725,1404,395800,449526,1387756.74
South,Karnataka,DD Sports,Tennis,Chennai Open,Feb,1783742,73.6,Male,25-34,23656,1384,805798,977944,3250292.16
North,Uttar Pradesh,Jio Sports,Hockey,Hockey India League,Nov,350931,57.2,Male,15-24,30545,3662,165025,185906,339137.4
West,Maharashtra,ESPN India,Football,ISL,Aug,739556,79.7,Female,25-34,26498,3237,207134,532422,764018.19
North,Haryana,Star Sports,Football,Santosh Trophy,Feb,481116,70.0,Female,35-44,44241,2749,162806,318310,846738.17
North,Delhi,Jio Sports,Football,Santosh Trophy,Aug,741211,36.3,Female,25-34,20873,2734,204782,536429,1211433.03
Central,Madhya Pradesh,Sony Sports,Tennis,Chennai Open,Jan,795182,107.0,Male,15-24,18081,2279,324688,470494,857256.95
North,Delhi,Star Sports,Tennis,India Tennis Cup,Jul,1333203,108.1,Male,35-44,24705,1928,377802,955401,1992555.88
Central,Chhattisgarh,Jio Sports,Cricket,IPL,Jan,1832581,15.3,Female,45+,27661,4383,533858,1298723,3099436.91
Central,Madhya Pradesh,ESPN India,Badminton,India Open,Nov,982883,106.8,Female,25-34,37060,4721,372810,610073,1557974.87
West,Rajasthan,DD Sports,Badminton,India Open,Oct,623156,74.0,Male,15-24,28523,4059,203152,420004,875678.44
Central,Madhya Pradesh,Jio Sports,Cricket,World Cup,Jan,902129,78.2,Male,15-24,29731,3062,288853,613276,1125300.85
North,Punjab,Star Sports,Badminton,India Open,Dec,1759933,88.0,Male,25-34,1541,3074,801298,958635,3058228.54
North,Haryana,ESPN India,Hockey,Hockey India League,Sep,1239906,30.5,Male,25-34,29854,1306,456212,783694,1058614.88
North,Haryana,Star Sports,Kabaddi,Pro Kabaddi League,Jan,1459854,77.8,Male,45+,28386,1426,633309,826545,2916089.41
Central,Chhattisgarh,DD Sports,Kabaddi,Pro Kabaddi League,Feb,83787,33.2,Male,35-44,46253,1383,34367,49420,104251.94
West,Maharashtra,Star Sports,Hockey,Hockey India League,Jan,178046,58.0,Female,25-34,19509,2271,82703,95343,191532.88
East,Assam,Sony Sports,Football,ISL,Jun,457688,36.3,Female,25-34,31268,237,98360,359328,458496.7
West,Gujarat,Star Sports,Football,ISL,Jul,1414940,76.5,Female,25-34,33373,2857,410226,1004714,1807045.55
West,Gujarat,ESPN India,Cricket,World Cup,Jun,1706684,20.9,Male,35-44,26122,4776,452656,1254028,3008713.82
East,West Bengal,ESPN India,Cricket,World Cup,Jun,334580,60.7,Female,15-24,26279,2503,119020,215560,234279.59
North,Punjab,ESPN India,Tennis,Chennai Open,Jun,200787,109.9,Male,25-34,30312,2939,97392,103395,320107.15
North,Delhi,ESPN India,Kabaddi,Pro Kabaddi League,Jan,1665685,38.6,Male,25-34,8531,4383,804220,861465,1829345.29
West,Gujarat,Star Sports,Kabaddi,Pro Kabaddi League,Aug,1165731,115.4,Male,15-24,16261,1531,353116,812615,682631.19
North,Uttar Pradesh,Star Sports,Tennis,India Tennis Cup,Nov,1977581,44.0,Female,35-44,35742,3391,967262,1010319,3323700.42
Central,Chhattisgarh,Jio Sports,Football,ISL,Dec,1017561,94.7,Female,45+,10833,304,425763,591798,918052.21
North,Haryana,Star Sports,Badminton,Asia Championships,Aug,616088,18.5,Female,15-24,3643,2397,217928,398160,827399.57
South,Andhra Pradesh,ESPN India,Badminton,India Open,Sep,983396,58.2,Male,25-34,33262,3241,334624,648772,1819036.77
West,Goa,DD Sports,Kabaddi,Pro Kabaddi League,Mar,1506081,72.6,Female,25-34,12918,1043,422103,1083978,2869436.27
East,Assam,DD Sports,Badminton,Asia Championships,Sep,100601,97.7,Female,45+,23669,4360,25316,75285,198379.7
West,Rajasthan,Jio Sports,Kabaddi,Pro Kabaddi League,Jan,833441,91.1,Male,25-34,32703,2452,380475,452966,996711.03
North,Uttar Pradesh,Star Sports,Cricket,IPL,Oct,1448616,116.6,Male,45+,7588,524,312741,1135875,772188.73
East,Assam,Sony Sports,Hockey,Hockey India League,Jan,1258948,41.4,Female,35-44,34365,3162,544376,714572,1658863.27
South,Tamil Nadu,DD Sports,Badminton,India Open,Feb,256487,105.3,Male,45+,24481,2190,119413,137074,154277.58
East,Bihar,Sony Sports,Tennis,Chennai Open,Jul,1405349,79.4,Male,35-44,13485,2757,471282,934067,1724425.66
North,Haryana,Star Sports,Badminton,Asia Championships,Mar,1111716,84.7,Female,25-34,47136,3237,508846,602870,718550.71
East,Assam,Jio Sports,Kabaddi,Pro Kabaddi League,Apr,782303,83.4,Male,35-44,28733,4783,294514,487789,464226.16
Central,Madhya Pradesh,Sony Sports,Football,Santosh Trophy,Jan,1319671,52.4,Female,45+,17994,1827,615520,704151,2231543.3
Central,Madhya Pradesh,Sony Sports,Football,Santosh Trophy,Nov,847232,42.2,Female,35-44,13819,1277,372436,474796,843269.15
Central,Madhya Pradesh,DD Sports,Football,ISL,Feb,1784509,16.9,Female,15-24,11983,1849,488541,1295968,1324872.51
West,Rajasthan,DD Sports,Cricket,World Cup,Mar,575069,62.4,Female,45+,19489,3967,246338,328731,953475.16
West,Maharashtra,DD Sports,Football,Santosh Trophy,Aug,1389838,24.9,Female,35-44,21354,2091,464548,925290,1283718.79
Central,Chhattisgarh,Sony Sports,Cricket,IPL,Jan,493945,26.1,Male,45+,49563,1914,173205,320740,856083.12
West,Gujarat,Jio Sports,Cricket,World Cup,Aug,260097,61.3,Male,35-44,30450,2651,122760,137337,202897.75
East,Bihar,DD Sports,Hockey,Hockey India League,Dec,1278807,98.2,Female,25-34,11403,584,529246,749561,1856666.16
North,Uttar Pradesh,Jio Sports,Kabaddi,Pro Kabaddi League,Sep,318854,35.6,Male,45+,3285,4663,97952,220902,426221.8
North,Delhi,Jio Sports,Cricket,IPL,Jan,130257,105.0,Male,35-44,1258,382,52751,77506,119231.62
West,Maharashtra,DD Sports,Tennis,Chennai Open,Oct,578423,77.8,Male,45+,24551,712,201225,377198,924871.11
North,Uttar Pradesh,DD Sports,Kabaddi,Pro Kabaddi League,Jun,329215,61.2,Female,15-24,12205,1881,149585,179630,587751.13
East,West Bengal,ESPN India,Football,Santosh Trophy,Sep,1685851,48.6,Male,45+,26150,2010,468803,1217048,1152533.46
South,Andhra Pradesh,DD Sports,Cricket,World Cup,Nov,427501,32.4,Female,45+,2125,1629,132354,295147,487878.9
West,Goa,DD Sports,Tennis,India Tennis Cup,Sep,582726,87.1,Male,15-24,44360,2343,268668,314058,920142.09
North,Punjab,ESPN India,Badminton,Asia Championships,Jul,571121,54.8,Male,35-44,33994,3647,249623,321498,1020744.91
East,Assam,Star Sports,Cricket,IPL,Nov,977091,26.6,Male,15-24,17299,3090,219394,757697,1443653.79
North,Uttar Pradesh,Star Sports,Badminton,India Open,Nov,462104,66.9,Female,45+,10346,687,181450,280654,463403.47
South,Kerala,DD Sports,Tennis,Chennai Open,May,1861417,26.9,Female,45+,26817,289,794263,1067154,2938462.98
West,Goa,Star Sports,Football,Santosh Trophy,Jan,895474,51.5,Male,45+,14230,4533,409598,485876,1453568.77
South,Tamil Nadu,Sony Sports,Tennis,India Tennis Cup,Aug,1203976,75.6,Female,35-44,7416,1774,444687,759289,2125747.24
West,Goa,Jio Sports,Badminton,India Open,Nov,344746,28.3,Male,15-24,23433,1189,106788,237958,335223.9
East,Bihar,ESPN India,Badminton,Asia Championships,Jan,1764423,33.4,Male,45+,40112,4319,845349,919074,3506991.73
West,Maharashtra,Star Sports,Kabaddi,Pro Kabaddi League,Jan,1790534,82.5,Male,45+,34209,4728,745252,1045282,984407.0
South,Kerala,Sony Sports,Football,ISL,Jul,1061316,94.7,Male,35-44,17843,4746,400656,660660,1816011.49
West,Goa,DD Sports,Badminton,Asia Championships,Aug,100939,42.3,Female,45+,22125,2554,30333,70606,76069.81
South,Karnataka,Jio Sports,Football,ISL,Dec,526513,63.3,Female,15-24,3659,4696,192643,333870,694982.59
Central,Chhattisgarh,ESPN India,Tennis,Chennai Open,May,176498,99.2,Male,45+,23010,695,66394,110104,93014.47
